OTU,Kingdom,Phylum,Class,Order,Family,Genus
OTU_77,Bacteria(100.0),Planctomycetes(99.3),Planctomycetacia(77.5),Planctomycetales(62.2),Planctomycetaceae(49.1),Planctomyces(44.4)
OTU_74,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.2),Rhizobiales(99.1),Phyllobacteriaceae(98.3),Mesorhizobium(92.4)
OTU_78,Bacteria(100.0),Tenericutes(42.6),Mollicutes(28.7),Mycoplasmatales(28.7),Mycoplasmataceae(28.7),Mycoplasma(28.7)
OTU_76,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(89.2),Rhizobiales(83.9),Hyphomicrobiaceae(75.8),Devosia(58.7)
OTU_83,Bacteria(100.0),Chloroflexi.ph(99.8),Thermomicrobia(86.7),Sphaerobacterales(67.7),Sphaerobacteraceae(55.0),Sphaerobacter(48.9)
OTU_79,Bacteria(100.0),Proteobacteria(48.3),Gammaproteobacteria(30.4),Chromatiales(30.4),Chromatiaceae(30.4),Halochromatium(30.4)
OTU_80,Bacteria(100.0),Firmicutes(84.2),Clostridia(45.8),Thermoanaerobacterales(45.8),Thermoanaerobacteraceae(41.3),Gelria(41.3)
OTU_81,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.4),Bacillales(99.4),Paenibacillaceae_1(99.2),Paenibacillus(99.2)
OTU_92,Bacteria(100.0),Planctomycetes(100.0),Planctomycetacia(100.0),Planctomycetales(100.0),Planctomycetaceae(100.0),Singulisphaera(100.0)
OTU_86,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(98.1),Rhizobiales(98.1),Rhizobiaceae(98.1),Rhizobium(98.1)
OTU_89,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.8),Caulobacterales(99.6),Caulobacteraceae(99.6),Phenylobacterium(97.1)
OTU_87,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(96.0),Myxococcales(96.0),Haliangiaceae(85.3),Haliangium(65.5)
OTU_91,Bacteria(100.0),Firmicutes(100.0),Bacilli(93.7),Bacillales(93.1),Planococcaceae(82.6),Planomicrobium(63.1)
OTU_84,Bacteria(100.0),Verrucomicrobia(75.7),Verrucomicrobiae(36.0),Verrucomicrobiales(36.0),Verrucomicrobiaceae(36.0),Prosthecobacter(36.0)
OTU_82,Bacteria(100.0),Firmicutes(100.0),Clostridia(94.5),Clostridiales(94.2),Clostridiaceae_1(81.2),Anaerobacter(58.7)
OTU_88,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(99.6),Desulfuromonadales(99.5),Geobacteraceae(98.7),Geobacter(98.7)
OTU_90,Archaea(100.0),Euryarchaeota(68.9),Thermococci(29.1),Thermococcales(29.1),Thermococcaceae(29.1),Thermococcus(29.1)
OTU_85,Bacteria(100.0),Firmicutes(87.5),Negativicutes(59.4),Selenomonadales(52.9),Veillonellaceae(42.3),Sporolituus(42.3)
OTU_95,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.9),Caulobacterales(99.1),Caulobacteraceae(98.7),Asticcacaulis(98.7)
OTU_94,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(99.6),Burkholderiales(99.5),Burkholderiaceae(99.4),Wautersia(95.4)
OTU_96,Bacteria(100.0),Verrucomicrobia(100.0),Opitutae(98.7),Opitutales(98.7),Opitutaceae(98.6),Opitutus(98.3)
OTU_93,Bacteria(100.0),Firmicutes(100.0),Clostridia(99.6),Clostridiales(99.6),Peptococcaceae_1(99.6),Desulfitobacterium(99.4)
OTU_99,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(97.1),Sphingomonadales(95.3),Sphingomonadaceae(94.2),Sphingomonas(75.9)
OTU_97,Bacteria(100.0),Firmicutes(99.9),Bacilli(85.4),Bacillales(70.1),Bacillales_incertae_sedis(59.9),Caldalkalibacillus(50.0)
