"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,3,2,0,1,0,2,0,2,0,0,0,1,0,1,2,0,2,0,0,1,0,1,0,0,0
"OTU_1008",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,2,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"OTU_1010",2,1,1,1,0,1,0,0,1,1,1,0,0,2,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"OTU_1007",0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0
"OTU_1015",5,3,0,0,0,0,0,0,1,0,1,0,0,1,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
"OTU_1002",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,4,0,1,3,1,2,2,3,0,0,3
"OTU_1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,0,0,1,0,1,2,2,1,0,0,2,0,1,2,0,1,0,0,1,1,1,0
"OTU_265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,2,27,0,17,20,19,4,6,3,1,20,13,1,2,0,16,0,2,3,4,5,3,1,0,3,4,5
"OTU_1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,0,0,1,0,6,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"OTU_1000",0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,1,1,1,0
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
"OTU_1013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,2,0,0,0,3,0,1,2,0,0,0,0,2,1,0,2,0,2,0,0,1,0,0,0
"OTU_1003",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,3,0,0,2,3,0,0,0,0,0,0,1,0,0,0
"OTU_989",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,14,0,0,0,1,0,0,1,2,0,1
"OTU_984",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,2,1,0,1,0,5,1,0,0,0,0,0,0,0,4,0,0,1,1,0
