"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_242",0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,48,9,3,0,4,6,1,3,1,10,4,2,2,0,2,5,2,2,1,4,0,4,4,6,2,6,0,1,1,0,2
"OTU_38",1,0,4,0,0,0,1,0,0,3,16,0,153,0,0,0,193,47,1,18,25,47,136,39,153,12,72,19,57,30,44,87,22,95,27,21,16,3,141,19,27,25,9,8,17,2,1,39,11,30
"OTU_562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,3,2,1,0,2,0,8,5,2,3,2,3,1,2,4,5,1,3,0,1,0,2,2,0,1,1
"OTU_573",0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,2,0,0,0,0,4,0,1,2,1,0,0,0,4,2,0,0,1,2,0,0,0,0,1,2
"OTU_566",0,46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
"OTU_512",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,4,5,1,5,4,3,5,0,21,3,2,1,0,3,2,0,2,0,1,7,2,2,2,1,0,2,1,2,0,1
"OTU_515",0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,6,13,0,0,0,1,6,0,0,0,0,0,0,1,0,6,0,1,2,0,1,0,0,2,0,0,2,1,1,2,0,2,0,9
"OTU_517",0,0,0,0,0,0,0,0,0,0,0,1,7,31,11,4,0,5,2,3,1,3,1,1,6,5,5,0,0,2,6,0,0,4,1,0,2,0,3,3,0,0,1,1,3,0,0,1,0,0
"OTU_513",0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,10,0,0,1,1,0,3,0,5,1,4,0,2,0,1,4,1,4,5,2,3,0,1,5,0,3,0,0,0,0,1,2,1,1
"OTU_511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,24,2,0,12,16,0,6,4,0,2,0,1
"OTU_514",0,0,0,0,0,0,0,0,0,0,0,4,0,0,49,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,1,2
"OTU_519",0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1
"OTU_506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,5,2,2,13,3,0,0,0,0,2,6,1,3,0,2,0,0,7,1,0,7,0,3,0,0,0,2,0,2
"OTU_507",0,0,0,0,0,0,0,0,0,0,0,2,5,8,5,6,6,13,0,1,5,1,2,3,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1,1
"OTU_2508",15,4,1,1,1,3,11,2,13,6,2,0,0,2,2,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,1,0,0,0,3,1,0
"OTU_508",0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,5,2,2,1,0,3,10,0,5,0,0,2,2,0,2,1,1,0,1,0,0,1,2,1,1,4,0,0,0,0,0,0,0
"OTU_504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,1,0,8,6,1,1,3,5,2,0,0,5,6,2,2,3,16,3,1,0,0,0,2,0
"OTU_503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,1,2,2,0,4,0,21,7,1,5,3,0,1,1,3,4,0,3,1,4,0,1,4,2,0,2
"OTU_509",0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,3,2,0,4,1,0,3,8,1,1,0,4,2,3,2,8,3,0,2,0,4,1,0,0,1,0,3
"OTU_510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,2,5,0,1,0,5,6,4,5,0,1,3,0,20,4,0,2,0,1,1,0,1,0,1,1
"OTU_535",0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,3,6,1,1,0,1,0,0,0,0,1,6,0,1,0,0,1,0,1,4,0,0,1,3,3,1,2,0,8,0,0,2,0,0,0
"OTU_531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,1,7,11,2,0,3,2,1,1,0,1,0,3,2,0,1,0,3,0,1,1,0,2,0,1,0,0,1,0
"OTU_536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,2,1,1,0,6,2,4,0,1,4,3,1,5,0,3,0,0,5,3,3,0,1,1,0,2,1
"OTU_534",0,41,0,0,0,1,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"OTU_530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,7,0,4,1,2,0,4,0,3,1,1,4,2,0,9,5,0,1,3,2,0,0,1,2,4,4
"OTU_533",0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,8,16,0,0,1,1,0,1,2,3,0,0,0,0,0,6,3,3,0,0,2,0,3,1,0,0,1,0,2,0,1,0,2,2
"OTU_526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,1,0,3,1,0,0,4,3,1,2,2,0,0,0,7,2,4,0,4,8,3,0,2,0,2,1
"OTU_539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,2,2,0,6,0,4,2,1,2,0,3,2,3,7,1,1,1,1,5,1,0,1,1,1,0,0,1,1,1
"OTU_537",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11,0,0,0,0,4,1,0,3,0,1,2,1,1,1,2,0,0,2,5,0,0,0,0,3,0,0,17,0,6,0,0,0,0,0
"OTU_542",0,0,0,0,0,0,0,3,0,0,0,0,11,5,8,1,8,2,5,0,1,0,0,0,2,0,2,0,1,0,1,0,1,0,2,1,2,1,2,0,0,1,0,0,0,0,0,2,0,1
"OTU_540",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,2,2,5,0,4,0,0,1,0,0,0,0,6,1,4,0,10,1,0,1,3,3,0,0,3,3,0,2
"OTU_538",0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,8,2,2,0,6,0,0,2,1,2,0,1,1,0,0,0,0,0,6,0,3,5,2,0,2,0,0,0
"OTU_524",0,6,0,0,0,0,0,5,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0
"OTU_523",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,0,0,2,0,0,2,1,2,0,2,0,1,0,3,0,13,7,7,0,2,1,1,0
"OTU_522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,3,0,2,4,0,0,0,0,0,4,0,4,2,3,1,2,3,1,10,0,5,0,2,1,1,1,6
"OTU_521",0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,2,2,1,0,1,0,0,1,1,2,2,0,1,2,3,0,0,0,6,1,0,3,0,0,1
"OTU_518",1,0,0,0,1,5,0,0,2,2,0,0,7,1,0,1,1,0,3,1,3,0,3,4,2,0,0,0,0,2,2,1,1,0,3,5,0,2,5,2,0,1,2,0,1,0,2,0,0,1
"OTU_525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,7,1,0,0,2,6,0,2,1,2,2,5,1,6,5,1,0,0,2,1,5,3,1,0,1,1,2,0,1
"OTU_528",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,2,1,0,2,0,0,0,2,1,0,1,3,2,0,1,3,0,6,0,8,1,11,2,2,1,2,2,4
"OTU_532",0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,34,1,3,0,1,0,1,0,1,1,0,0,0,0,2,0,0,2,0,0,5,3,0,0,0,0,0,0
"OTU_529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,3,0,1,1,0,1,1,0,2,4,6,1,1,1,4,5,0,1,1,7,2,0,3,0,4,8
"OTU_527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,9,32,0,1,0,2,4,0,4
"OTU_644",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7,2,0,2,4,6,0,1,0,2,0,1,0,0,4,1,1,0,2,4,1,0,3,0,3,0,0,1,1,0,0
"OTU_633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,1,0,0,2,1,0,0,3,0,0,7,1,0,1,1,0,1,0,1,18,0,4,0,0,0,0,0
"OTU_641",0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,1,1,1,10,0,0,0,1,4,1,0,0,2,0,0,1,1,1,0,1,4,1,3,1,0,7,0,0,0,0,0,0,1,0
"OTU_640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,3,0,20,0,0,0,2,1,3,1,1,2,3,3,0,0,0,2,0,0,0,1,2,0
"OTU_645",0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,1,0,2,4,2,0,6,2,0,2,1,0,4,0,0,1,2,0,3,0,0,0,0,3,1,0,1,0,0,1,1
"OTU_636",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,1,1,1,0,8,0,0,0,4,0,5,3,0,0,1,6,0,0,3,0,0,1,2,0,0,0,0,0,2,1
"OTU_652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,7,0,6,0,3,0,0,1,5,0,2,1,9,0,0,2,0,1,0,0
"OTU_648",0,0,0,0,0,0,0,1,3,0,3,1,0,0,3,1,0,5,1,2,0,0,2,0,3,0,1,1,1,1,1,0,0,4,1,0,0,0,6,1,0,2,2,0,0,0,0,0,0,2
"OTU_651",0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,2,0,1,3,3,0,0,1,1,2,0,0,1,0,0,0,3,1,0,1,0,1,1,3,1,0,3,1,0,2,0,2,1,2,0
"OTU_650",0,2,3,1,1,11,0,0,0,0,1,1,0,0,1,1,0,0,8,2,0,0,1,2,1,2,0,0,0,0,2,0,0,1,3,1,1,0,3,1,0,6,0,1,1,0,1,1,2,2
"OTU_647",0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,0,0,13,0,4,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,1,0,1,1,5,1,0,1,0,0,0,2,0,1
"OTU_649",0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,3,3,1,5,0,2,2,4,1,0,4,1,1,0,0,3,2,0,1,0,3,0,0,0,3,0,0,0,1,2,0,0
"OTU_627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,2,0,0,7,0,4,4,0,4,0,0,0,0,0,0,0,0,1,1,0
"OTU_646",0,0,5,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,11,1,1,0,2,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0
"OTU_272",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,21,12,8,4,2,4,15,0,5,9,1,5,6,4,3,5,12,10,5,1,1,14,9,1,3,5,21,5,3,3,2,5,7
"OTU_632",0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,9,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_625",0,0,0,1,1,0,3,0,0,0,3,0,0,0,3,29,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"OTU_628",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,1,4,0,1,3,5,0,13,0,0,0,2,0,3,0,0,2,3,6,1,0,4,0,0,0,1,1,4,0,0,1,3,0
"OTU_634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,5,1,1,2,2,1,2,1,2,0,0,0,3,4,0,0,1,0,0,0,11,2,3,0,0,0,0,0
"OTU_643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,0,0,0,2,1,9,0,0,2,7,2,1,2,4,2,0,0,1,3,1,0,0,1,1,2
"OTU_639",0,0,0,0,2,2,0,0,0,0,1,1,2,0,4,0,3,1,2,0,1,0,5,1,2,1,4,1,0,1,0,2,0,3,0,4,0,0,7,3,0,2,6,1,0,0,0,0,0,0
"OTU_638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,2,0,0,0,0,1,4,3,1,4,0,2,1,1,8,1,1,3,1,0,4,1,0,2,1
"OTU_637",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,1,1,0,3,1,5,6,0,0,0,3,0,3,1,0,1,2,0,2,2,0,2,3,3,0,0,1,0,1,1
"OTU_635",0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,16,0,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,3,1,0,7,3,3,2,3,1,1,3,13
"OTU_665",0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,27,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"OTU_333",0,0,0,0,0,6,0,0,0,0,4,14,2,27,1,3,12,7,3,2,1,1,3,0,6,4,9,1,1,2,0,4,5,3,4,2,2,1,5,8,2,6,6,2,8,0,2,2,4,1
"OTU_664",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,3,2,4,0,3,1,1,3,2,4,2,0,1,0,0,6,0,0,2,0,0,0,1,1,1,2
"OTU_670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,1,0,1,0,3,2,3,0,12,0,0,0,0,4,0,1,3,0,3,4
"OTU_230",0,0,0,0,3,0,0,2,0,1,3,15,19,103,3,0,2,0,1,3,3,3,2,1,4,6,2,3,9,0,12,1,5,2,2,1,1,2,3,2,1,8,1,3,7,0,2,3,0,2
"OTU_669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"OTU_668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,1,0,3,1,1,1,1,7,1,0,4,0,1,1
"OTU_667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,5,0,2,0,0,3,0,0,2,0,1,2,2,2,3,0,2,0,19,0,0,0,0,2,0
"OTU_677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,4,5,1,3,4,4,0,0,6,0,1,0,0,0,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,1,0
"OTU_672",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,1,0,0,0,2,0,1,1,2,1,4,2,0,3,0,1,3,3,1,0,11,0,0,2
"OTU_666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,1,0,0,1,1,0,1,0,1,0,2,1,3,4,1,4,0,2,1,0,3,0,4,3
"OTU_655",14,0,1,3,0,2,2,4,1,1,0,0,0,2,3,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0
"OTU_216",0,2,0,0,0,0,18,16,0,10,3,2,4,4,0,0,4,1,2,21,2,4,16,9,10,2,13,4,8,4,7,3,2,11,3,7,5,1,17,11,3,10,9,14,6,3,3,3,0,4
"OTU_658",0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,5,0,0,0,2,1,1,0,0,0,0,3,0,0,0,1,1,0,0
"OTU_474",5,5,2,0,1,3,0,3,3,0,3,1,5,1,3,10,9,4,3,1,1,0,1,4,2,5,7,1,5,0,3,5,0,1,0,2,1,0,0,5,4,3,3,0,1,0,3,5,1,0
"OTU_660",0,1,0,0,0,2,1,0,0,0,0,5,2,1,2,0,0,1,2,1,1,0,1,2,0,0,2,0,2,0,0,2,3,1,1,2,2,1,0,2,2,3,0,0,0,0,1,0,0,1
"OTU_653",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,2,0,0,0,1,1,2,2,3,1,1,0,3,7,0,1,0,2,0,4,1,1,0,8
"OTU_661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,3,0,1,0,0,0,2,1,2,3,1,2,4,0,3,0,1,2,2,7,1,1,1,0,0,1
"OTU_662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,1,0,16,0,5,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"OTU_654",0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0,0,6,0,0,2,1,0,0,7,1,0,0,0,2,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"OTU_656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,1,4,1,3,2,1,0,2,1,6,1,1,0,0,15
"OTU_663",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,1,0,7,5,0,1,0,1,1,2,1,0,3,0,0,1,3,0,0,0,0,0,2,0
"OTU_659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,4,0,0,2,0,3,8,3,1,2,2,1,0,3,4,0,1,0,0,0,0,0,1,0,0
"OTU_599",0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,3,0,8,3,1,2,2,0,0,0,3,0,2,0,0,1,0,0,1,0,0,1,4,1,1,1,3,4,1,0,0,4,1,0
"OTU_588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,3,2,2,0,3,0,1,4,1,3,2,7,0,1,1,2,0,14
"OTU_601",0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,0,1,0,3,1,3,0,5,4,0,0,0,7,3,0,10,3,1,0,1,1,0,0
"OTU_592",0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,3,2,0,4,5,0,2,1,1,0,0,0,0,1,0
"OTU_594",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,5,0,6,1,0,0,1,2,0,1,2,3,6,0,1,3,4,0,6,0,1,3,1,2,1,0,1
"OTU_602",2,5,1,0,1,0,0,2,0,0,0,1,2,2,11,0,0,0,3,1,2,0,3,0,1,0,2,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,2,2,1,1,3,0,0,0
"OTU_595",3,3,0,0,1,5,1,4,1,0,1,0,0,2,5,2,0,0,2,1,1,0,1,15,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_596",0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,0,9,0,0,1,3,1,4,1,3,1,0,0,1,2,0,3,1,1,1,1,0,0,0,0
"OTU_603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,8,0,0,0,1,0,0,7,2,0,0,1,17,0,0,0,1,4,1,0,0,0,0,0
"OTU_598",0,0,0,0,0,0,0,0,0,0,0,0,1,6,27,6,0,8,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_600",0,0,3,0,0,0,0,0,0,0,10,4,14,4,26,1,0,1,0,3,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_587",0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,5,0,3,1,0,1,0,5,1,1,2,1,1,1,1,0,5,0,2,0,1,1,3,0,5,0,0,2,2,0,0,0,0,0,0
"OTU_577",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,3,0,1,0,4,2,0,3,2,1,9,6,1,1,13,0,0,2,0,4,1,0,1,0,3,3
"OTU_584",6,2,21,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
"OTU_580",0,0,0,0,0,0,0,0,0,0,2,2,15,21,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,1,0,3,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
"OTU_579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,11,0,0,1,3,0,10,3,0,4,1,2,0,2,2,0,3,0,2,1,1,1,0,2,1
"OTU_589",0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,1,1,1,0,0
"OTU_591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,5,0,1,2,0,1,1,5,0,1,3,2,0,4,1,5,6,1,4,0,2,1,0,0,0,0,2
"OTU_590",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,7,1,0,5,0,0,2,16,1,0,0,2,7,0,0
"OTU_585",0,0,0,0,0,0,0,0,1,0,4,1,6,0,0,0,3,0,6,0,0,2,3,1,6,0,4,1,1,0,3,0,0,3,0,3,2,0,2,0,0,1,0,0,1,0,0,1,0,1
"OTU_586",0,38,1,0,0,0,6,0,4,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_593",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,8,0,5,0,0,1,8,0,1,1,1,0,1,0,0,0,2,3,1,0,4,0,0,3,4,2,0,0,0,0,0,0
"OTU_623",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,9,0,0,22,1,0,2,1,0,1,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0
"OTU_621",0,0,0,2,2,2,0,0,1,0,9,0,0,13,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,2,0,0,5,3,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0
"OTU_622",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,2,1,1,1,5,5,1,2,4,5,0,1,1,3,3,1,0,0,1,7
"OTU_620",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,0,2,2,2,1,8,4,2,0,1,0,1,5,0,1,4,3,0,0,0,2,1,1
"OTU_624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,5,8,0,2,0,1,0,0,0,1,0,1,14,2,0,4,0,0,0,0,0,0,1,0,0,4,0
"OTU_617",0,1,1,0,11,0,0,0,0,0,0,0,0,15,5,2,0,0,4,0,2,0,1,0,1,1,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,2,0,0,1,4,2
"OTU_614",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,3,3,0,4,0,0,7,9,1,0,1,1,0,0,3,3,0,0,0,0,3,3,0
"OTU_612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,3,1,2,0,0,2,0,0,2,2,2,5,0,3,0,1,3,3,6,1,0,0,0,2,1,4,1
"OTU_619",0,0,0,0,0,0,1,0,0,0,0,0,10,3,0,0,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"OTU_630",0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,12,0,4,0,0,1,0,0,1,0,5,0,1,0,2,0,0,1,0,2,2,1,0,0,0,0,5,1,0,0,0,2,0,0
"OTU_626",0,0,0,0,3,2,13,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,1,4,10,2,0,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0
"OTU_618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,0,1,1,3,4,1,0,1,1,1,1,1,3,7,0,1,1,0,1,0,5,0,4,1,0,2,1,0,2
"OTU_605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,1,5,0,2,0,4,3,0,3,6,3,2,0,2,3,0,2,0,3,1,2,0,0,2,1
"OTU_607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0
"OTU_609",6,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,1,4,1,0,0,0,1,3
