"ET","Block","Treatment","Brich","Frich","FBrich","Bpos","Fpos","FBpos","Bneg","Fneg","FBneg","Blinks","Flinks","FBlinks","ALLlinks","pos.Blinks","pos.Flinks","pos.FBlinks","pos.ALLlinks","neg.Blinks","neg.Flinks","neg.FBlinks","neg.ALLlinks","Bcon","Fcon","FBcon","ALLcon","pos.Bcon","pos.Fcon","pos.FBcon","pos.ALLcon","neg.Bcon","neg.Fcon","neg.FBcon","neg.ALLcon","d.Bpos","d.Bneg","d.Bcon","d.pos.Bcon","d.neg.Bcon","d.Fpos","d.Fneg","d.Fcon","d.pos.Fcon","d.neg.Fcon","d.FBpos","d.FBneg","d.FBcon","d.pos.FBcon","d.neg.FBcon","d.ALLcon","d.pos.ALLcon","d.neg.ALLcon"
"ET11","b","V",834,82,0.877070051267606,265,40,0.942978443861604,117,17,0.684564937343494,9167,171,677,10015,799,88,128,1015,187,4,39,230,10.9916067146283,2.08536585365854,0.739082969432314,10.9334061135371,0.958033573141487,1.07317073170732,0.139737991266376,1.10807860262009,0.224220623501199,0.0487804878048781,0.0425764192139738,0.251091703056769,182.436338392532,93.7483184485266,8.72745256730549,0.744778011971137,0.32747604410205,29.1607369474998,13.5131911644155,1.75954377613526,0.698990638229032,0.073506158527019,0.178161906875469,0.0890382421714929,0.58744847305635,0.0954360333758273,0.0667656530745046,8.63638789275747,0.806531116592763,0.382611170990078
"ET12","b","VI",964,129,2.01208526392685,320,62,2.04360302971869,122,25,1.57412959916251,11345,336,1226,12907,1008,237,301,1546,216,17,54,287,11.7686721991701,2.6046511627907,1.12168344007319,11.8087831655993,1.04564315352697,1.83720930232558,0.275388838060384,1.41445562671546,0.224066390041494,0.131782945736434,0.0494053064958829,0.262580054894785,195.437293123434,86.9204948388399,8.35277271160641,0.723907302201099,0.379846480692863,27.5534448498396,13.919121874681,1.5692073223576,0.648086465868639,0.210359706539234,0.118684220927205,0.0650598712560606,0.636849096853068,0.136880205363828,0.0879000519988904,8.36141137953407,0.747563020708843,0.525445837107475
"ET13","c","I",179,37,-1.17371000630018,51,19,-0.992318186046065,52,11,-1.01310135856912,836,43,97,976,60,15,14,89,68,9,23,100,4.67039106145251,1.16216216216216,0.449074074074074,4.51851851851852,0.335195530726257,0.405405405405405,0.0648148148148148,0.412037037037037,0.379888268156425,0.243243243243243,0.106481481481481,0.462962962962963,180.04691263299,88.3423527896405,8.2092615130358,0.668513739185657,0.218500158887354,30.763463423983,14.7841085694805,1.51576517678659,0.81148964031094,0.216409359632838,0.286261791857736,-0.355102397743028,0.612793668397829,0.113546795291038,0.0692463476755648,8.11393829379821,0.822695585439936,0.275841838898385
"ET14","c","II",390,75,-0.0636120899013859,115,30,-0.242058116940657,93,15,0.0794193034850663,2727,154,319,3200,193,28,35,256,155,11,39,205,6.99230769230769,2.05333333333333,0.686021505376344,6.88172043010753,0.494871794871795,0.373333333333333,0.0752688172043011,0.550537634408602,0.397435897435897,0.146666666666667,0.0838709677419355,0.440860215053763,175.879231465453,110.144885238534,8.66180686088459,0.652118147771077,0.321299368018053,22.6767166216194,12.6442227607589,1.83319960347748,0.120527690936976,0.163371962270412,-0.403145712015702,0.127635926473213,0.581077416059499,0.0472676246350096,0.0677283717187273,8.59078139071072,0.593474604490247,0.398433325386801
"ET15","c","III",660,45,-0.146669744102887,172,16,-0.43847762427689,129,9,0.0810146035623823,6132,73,367,6572,363,13,17,393,253,7,37,297,9.29090909090909,1.62222222222222,0.520567375886525,9.32198581560284,0.55,0.288888888888889,0.024113475177305,0.557446808510638,0.383333333333333,0.155555555555556,0.0524822695035461,0.421276595744681,145.650445137326,121.5794054338,8.56832178360103,0.481941134883966,0.416286503251182,23.7452009392749,11.4915010308023,1.85503855379817,0.556259465415078,0.137887814937603,-0.559987341427565,0.466842175498983,0.630743830581549,0.0543572884763235,0.0589630939477775,8.57769594490289,0.592462250785754,0.423342773138503
"ET16","c","IV",729,48,0.0360837414318781,200,21,-0.103426343336381,138,9,0.232433953700099,7075,89,417.5,7581.5,444,14,51,509,255,3,22,280,9.70507544581619,1.85416666666667,0.537323037323037,9.75740025740026,0.609053497942387,0.291666666666667,0.0656370656370656,0.655083655083655,0.349794238683128,0.0625,0.0283140283140283,0.36036036036036,151.358644186804,124.301560594812,8.37117715022641,0.483416632666883,0.410625887320098,27.2383525075094,11.0067732037979,2.04168799209943,0.507019621300601,0.0482695630042173,-0.241758969415099,0.514448958108072,0.626650990098513,0.0895431922755046,0.0411688426391481,8.39150531197275,0.625313439470139,0.392879588112774
"ET17","c","V",817,83,0.865301329731439,250,45,1.04247481040197,122,16,0.668006448452189,8882,198,728,9808,723,143,182,1048,201,10,27,238,10.8714810281518,2.3855421686747,0.808888888888889,10.8977777777778,0.884944920440636,1.72289156626506,0.202222222222222,1.16444444444444,0.246022031823745,0.120481927710843,0.03,0.264444444444444,172.928521235414,100.295033843639,8.75793973301431,0.685875243367548,0.342408841725682,33.6584541369113,12.3516152220807,2.04462175577036,1.33137226548936,0.146353366307041,0.396644264726058,0.0631899388247816,0.650028411672392,0.156021529642209,0.0527154255176468,8.75478293119639,0.868625826899778,0.391572280387005
"ET18","c","VI",753,39,-0.0924118886466246,270,19,0.207368471015127,121,8,-0.154260724416735,7414,87,361.5,7862.5,747,32,115,894,231,5,22,258,9.84594953519256,2.23076923076923,0.456439393939394,9.92739898989899,0.99203187250996,0.82051282051282,0.14520202020202,1.12878787878788,0.306772908366534,0.128205128205128,0.0277777777777778,0.325757575757576,213.604974290971,105.117962389947,8.29942133063524,0.846367876744206,0.377301419166677,29.758897802806,11.4609566848109,2.55417557463154,1.19191864082352,0.103662780342836,0.645542830350702,-0.026542681501587,0.609909525632458,0.18688635283224,0.0422917961610978,8.34024451380866,1.13557802991729,0.350901449121077
"ET19","d","I",148,62,-0.751965526733981,41,33,-0.53843167924921,42,14,-0.879304030707586,649,139,145,933,66,70,23,159,42,5,14,61,4.38513513513514,2.24193548387097,0.69047619047619,4.44285714285714,0.445945945945946,1.12903225806452,0.10952380952381,0.757142857142857,0.283783783783784,0.0806451612903226,0.0666666666666667,0.29047619047619,180.062069581775,81.1628338042581,8.19865255246817,0.805132531288586,0.109870560887281,32.2063931592701,13.7447100111111,2.21808011396889,1.1016363105346,0.082455474531332,0.333982363979653,-0.815398787320602,0.676269593763364,0.108681221585741,0.0280312699083073,8.33079437521833,1.04188085299035,0.136809357095813
"ET20","d","II",341,51,-0.611606607328971,84,26,-0.557210124573093,113,14,0.315226398156622,2244,83,198,2525,100,34,23,157,294,9,51,354,6.58064516129032,1.62745098039216,0.505102040816326,6.44132653061224,0.293255131964809,0.666666666666667,0.0586734693877551,0.400510204081633,0.86217008797654,0.176470588235294,0.130102040816327,0.903061224489796,160.709640836113,134.6030649068,8.68426372734263,0.49139020961502,0.766235798308884,30.7315040757438,15.5220453767936,1.76967729968174,0.830001999408346,0.165677454861681,0.0615224476545841,1.47985475456424,0.570422705379456,0.0786848889041883,0.108218306575168,8.58082288692644,0.618132033453058,0.799883740324195
